CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT)
4.3,1391,-200,21.5,1338,729,509,183
2.9,1263,-200,15.5,1164,508,581,147
2,1147,-200,10.9,1012,347,665,120
1.7,1103,-200,8.7,928,327,715,112
1.9,1071,-200,7.4,873,339,739,107
2,1137,-200,9.9,975,358,687,103
1.9,1066,-200,8.2,907,377,728,97
1,918,-200,3.9,704,-200,920,85.5
0.8,895,-200,3.2,663,165,977,74
0.7,885,-200,3,655,145,996,68
1.1,964,-200,5.4,784,282,824,92
1.7,1088,-200,8.7,927,494,715,111
3.1,1274,-200,15.4,1160,606,587,133
4.4,1406,-200,27.2,1483,581,478,139
5.6,1521,-200,30.7,1568,920,440,192
4.4,1408,-200,24.3,1412,811,484,192
4.4,1377,-200,21.7,1342,786,499,206
4.7,1470,-200,25.8,1450,677,481,182
4.2,1416,-200,21.8,1346,612,609,192
3.3,1383,-200,20.6,1314,524,785,188
5.1,1574,-200,27.2,1483,775,460,186
7.4,-200,-200,-200,-200,1159,-200,257
9.3,-200,-200,-200,-200,1310,-200,248
7.4,-200,-200,-200,-200,1037,-200,208
5.3,-200,-200,-200,-200,791,-200,167
4.1,-200,-200,-200,-200,670,-200,148
2.5,-200,-200,-200,-200,341,-200,112
2.1,-200,-200,-200,-200,365,-200,108
2.9,-200,-200,-200,-200,510,-200,115
2.3,-200,-200,-200,-200,352,-200,96
1.7,-200,-200,-200,-200,299,-200,87
0.9,-200,-200,-200,-200,-200,-200,74
0.7,-200,-200,-200,-200,103,-200,61
0.8,-200,-200,-200,-200,133,-200,61
1,-200,-200,-200,-200,244,-200,82
1.2,-200,-200,-200,-200,222,-200,83
3.5,-200,-200,-200,-200,591,-200,116
4.5,-200,-200,-200,-200,821,-200,147
4.9,-200,-200,-200,-200,803,-200,167
3.5,-200,-200,-200,-200,809,-200,176
3.4,-200,-200,-200,-200,836,-200,177
4,-200,-200,-200,-200,820,-200,169
4.3,-200,-200,-200,-200,861,-200,181
4,-200,-200,-200,-200,842,-200,183
4.7,-200,-200,-200,-200,933,-200,176
6.6,-200,-200,-200,-200,1237,-200,229
7.3,-200,-200,-200,-200,1137,-200,214
3.6,-200,-200,-200,-200,484,-200,137
2.4,-200,-200,-200,-200,325,-200,115
2.1,-200,-200,-200,-200,292,-200,107
2.1,-200,-200,-200,-200,303,-200,105
1.7,-200,-200,-200,-200,242,-200,96
2.2,-200,-200,-200,-200,314,-200,100
2,-200,-200,-200,-200,289,-200,100
1.6,-200,-200,-200,-200,224,-200,92
1.7,-200,-200,-200,-200,-200,-200,86.5
-200,-200,-200,-200,-200,191,-200,81
1,-200,-200,-200,-200,149,-200,74
1,-200,-200,-200,-200,212,-200,81
1.6,-200,-200,-200,-200,398,-200,99
3.5,-200,-200,-200,-200,763,-200,123
5.3,-200,-200,-200,-200,905,-200,146
4.6,-200,-200,-200,-200,849,-200,161
4.5,-200,-200,-200,-200,1015,-200,210
4.2,-200,-200,-200,-200,845,-200,190
4.1,-200,-200,-200,-200,740,-200,170
5.5,-200,-200,-200,-200,1018,-200,212
4.8,-200,-200,-200,-200,1058,-200,217
5.5,-200,-200,-200,-200,1182,-200,236
5.2,-200,-200,-200,-200,1089,-200,217
7.5,-200,-200,-200,-200,1186,-200,231
8.6,-200,-200,-200,-200,1235,-200,227
9.1,-200,-200,-200,-200,1253,-200,219
8.6,-200,-200,-200,-200,1237,-200,203
5.4,-200,-200,-200,-200,1060,-200,186
4.3,-200,-200,-200,-200,873,-200,173
4.2,-200,-200,-200,-200,807,-200,162
4.3,-200,-200,-200,-200,798,-200,161
4.2,-200,-200,-200,-200,691,-200,144
2.8,-200,-200,-200,-200,-200,-200,131.5
2.2,-200,-200,-200,-200,433,-200,119
1.8,-200,-200,-200,-200,371,-200,112
2,-200,-200,-200,-200,469,-200,111
2.5,-200,-200,-200,-200,658,-200,122
4.1,-200,-200,-200,-200,854,-200,137
6.3,-200,-200,-200,-200,1005,-200,151
5,-200,-200,-200,-200,937,-200,164
5.1,-200,-200,-200,-200,963,-200,198
3.6,-200,-200,-200,-200,635,-200,213
3.5,-200,-200,-200,-200,521,-200,164
3.7,-200,-200,-200,-200,613,-200,177
3.1,-200,-200,-200,-200,516,-200,168
3.2,-200,-200,-200,-200,446,-200,150
3.8,-200,-200,-200,-200,499,-200,152
3.2,-200,-200,-200,-200,407,-200,138
3.2,-200,-200,-200,-200,418,-200,129
3.3,1325,-200,16.4,1191,403,564,130
3.1,1316,-200,13.4,1099,412,610,137
2.4,1170,-200,8.2,906,322,707,125
1.4,1061,-200,5.7,800,200,819,106
2.1,1109,-200,7,855,244,787,121
1.4,1025,-200,5.6,794,199,848,101
1.4,1086,-200,5.1,769,190,822,100
1.3,1058,-200,4.3,727,-200,834,93
1,1034,-200,4.2,719,153,858,86
1.3,1065,-200,6.1,816,215,777,90
1,988,-200,5.2,774,206,842,89
1.1,986,-200,5.4,785,225,842,96
2.1,1136,-200,11,1015,416,702,125
3.2,1256,-200,16.1,1184,613,582,143
3.3,1228,-200,15.7,1170,567,596,153
2.3,956,-200,8.8,931,409,799,140
1,781,-200,3.9,704,183,1062,92
0.8,759,-200,3.8,699,140,1223,78
0.8,722,-200,3.3,671,133,1596,68
0.6,699,-200,2.4,613,115,1731,64
0.9,755,-200,3.6,690,157,1653,80
0.8,746,-200,3.5,684,149,1301,81
1.2,784,-200,4.6,744,219,1080,102
2.1,931,-200,9.9,972,424,868,132
3.9,1112,-200,19,1267,659,671,162
4.4,1133,-200,17.2,1215,727,674,179
2,886,-200,8.4,917,398,908,148
2.3,993,-200,11.4,1030,414,805,146
3.6,1215,-200,15.6,1167,600,664,164
3.9,1160,-200,13,1083,596,706,162
1.6,928,-200,6.2,819,225,919,118
1,879,-200,4.2,722,-200,1014,98
-200,833,-200,2.7,632,120,1107,78
1,840,-200,3,649,126,1044,79
0.8,848,-200,2.4,612,83,1169,62
0.7,828,-200,3.1,660,156,1078,85
1,847,-200,3.8,698,240,1034,110
1,868,-200,3.2,665,186,1067,99
1.5,970,-200,6.2,819,224,923,101
2.5,1077,-200,9.6,963,386,761,129
2.6,1058,-200,9.6,962,397,778,132
3.2,1136,-200,12.5,1067,477,702,148
3,1228,-200,12.5,1068,405,658,134
3.4,1235,-200,14,1118,453,612,148
3.3,1217,-200,11.6,1036,459,661,146
3.6,1298,-200,13,1082,452,642,148
5.5,1327,-200,17.3,1219,579,582,175
4.5,1293,-200,14.6,1136,542,631,170
4.7,1353,-200,16.2,1187,601,599,173
4.3,1254,-200,13.8,1111,521,630,151
3.2,1189,-200,10.6,999,411,680,129
2.9,1183,-200,9.1,944,382,731,126
3.1,1185,-200,9.7,966,421,711,127
2.8,1098,-200,7,859,362,792,118
1.2,938,-200,2.8,639,104,1020,83
0.9,883,-200,2,583,-200,1116,71.5
0.8,839,-200,1.4,536,69,1229,60
0.6,784,-200,0.8,479,41,1365,37
0.6,779,-200,0.7,466,46,1393,39
1,883,-200,2.6,625,118,1069,70
3.2,970,-200,5.3,776,295,873,108
3.6,1012,-200,7.1,861,311,785,119
2.9,934,-200,5,766,269,878,111
2.4,888,-200,3.8,700,225,956,106
2.5,918,-200,4.5,737,220,1007,105
2.6,901,-200,4.7,747,216,1001,114
2.3,857,-200,3.9,708,162,972,93
2.2,838,-200,3.8,699,152,1015,89
2.3,869,-200,5.2,772,183,1051,102
2.9,928,-200,6.8,850,254,1118,129
4.1,1037,-200,11.9,1047,355,869,151
4.1,980,-200,10.8,1008,341,758,151
4,978,-200,11.5,1031,341,765,149
3.7,891,-200,7.6,882,342,885,149
1.7,762,-200,3.1,657,186,1158,114
1.1,794,-200,3.6,687,170,1100,104
1.1,799,-200,3.6,690,169,1125,104
1.5,818,-200,4.3,725,246,1065,127
0.5,691,-200,0.7,471,63,1552,53
0.3,697,-200,0.6,455,-200,1726,46
0.2,697,-200,0.5,437,44,1705,39
0.3,716,-200,0.7,473,54,1595,41
0.6,791,-200,2.2,598,176,1186,97
0.7,804,-200,2.6,630,236,1188,120
2.6,1093,-200,13.4,1098,613,782,167
5.5,1179,-200,23.5,1390,755,567,198
2.6,951,-200,9.4,953,460,812,157
1.5,882,-200,6.3,826,280,952,125
1.7,897,-200,6.7,845,322,942,135
2.2,949,-200,9.7,965,349,860,138
2.1,896,-200,7.8,891,297,921,132
2.2,908,-200,7.7,886,353,922,142
2.3,959,-200,8.6,924,316,899,137
2.5,994,-200,10.7,1005,348,832,145
3.1,1081,-200,16.7,1202,445,691,166
3.6,1081,-200,15.5,1164,457,705,165
3.9,1175,-200,18.3,1248,516,661,175
4,1123,-200,13.8,1110,575,732,185
2.3,1032,-200,9.3,952,449,833,166
1.5,927,-200,5.8,805,289,965,140
1.5,952,-200,6.6,838,268,948,133
2.2,987,-200,7.6,883,343,913,144
1.3,902,-200,5,761,222,1048,126
0.9,833,-200,2.9,648,-200,1135,99
-200,776,-200,1.3,525,87,1391,72
0.5,812,-200,1.5,541,89,1309,70
0.5,821,-200,1.7,563,103,1270,74
0.9,932,-200,3.8,701,254,944,124
2,1069,-200,8.8,931,481,782,152
3.2,1137,-200,12.5,1066,638,681,174
2.3,1009,-200,8.7,926,492,791,161
1.8,962,-200,7.5,877,413,841,120
2.1,972,-200,8.2,909,364,827,111
1.9,968,-200,8.5,920,299,831,128
2.4,939,-200,8.1,902,342,884,133
2.1,901,-200,6.7,843,309,1061,121
2.8,975,-200,9,938,367,874,147
3.3,1028,-200,11.3,1025,357,774,136
2.9,998,-200,9.9,972,345,806,153
3.9,1094,-200,13.6,1105,483,708,178
4.1,1128,-200,15.4,1161,480,672,174
3.3,1111,-200,11.4,1030,427,751,166
3.3,1121,-200,11.2,1023,504,725,169
1.9,956,-200,5.7,796,248,915,132
2,973,-200,5.4,785,241,916,127
1.9,952,-200,5.5,790,210,921,113
2.1,969,-200,5.2,773,292,889,128
1.7,919,-200,3.7,693,-200,955,106.5
1.3,874,-200,3.1,657,129,985,85
1.1,806,-200,1.6,554,106,1206,77
1.2,874,-200,2.5,623,125,1096,78
1.8,961,-200,5.3,779,267,917,115
3.6,1195,-200,13.4,1096,543,668,169
3.7,1184,-200,15,1148,496,651,174
3.4,1135,-200,12.8,1076,491,685,171
4,1211,-200,15.9,1177,667,620,179
3.8,1228,-200,15.9,1178,693,621,193
4.1,1247,-200,16.3,1188,707,598,210
4.9,1336,-200,18.6,1256,777,567,224
3.3,1205,-200,12.8,1079,512,652,175
4.3,1305,-200,17.9,1238,587,565,177
6.6,1568,-200,29,1528,864,455,208
8.5,1630,-200,33.1,1622,1089,421,247
8.7,1704,-200,36.1,1689,1070,402,242
9.1,1701,-200,36.3,1692,1220,402,252
7.2,1564,-200,26.3,1462,1076,472,228
5,1441,-200,20.6,1314,825,517,196
4.2,1376,-200,17,1209,740,549,190
4.6,1412,-200,17.2,1216,759,543,187
3.9,1352,-200,14.6,1137,610,567,174
3.4,1285,-200,12.1,1052,465,605,158
3,1263,-200,10.5,997,-200,625,145
2.4,1200,-200,8.7,929,288,664,132
2.5,1187,-200,8.8,931,251,669,121
3.5,1166,-200,8.2,909,351,691,136
3.9,1209,-200,9.5,958,379,666,138
4.8,1349,-200,14.6,1136,539,575,149
6.1,1458,-200,20.4,1307,706,497,165
6.6,1462,-200,18.8,1263,750,510,170
6.5,1448,-200,18.8,1263,747,511,165
6,1419,-200,18.5,1254,670,524,167
6.9,1561,-200,24.8,1425,772,465,197
7.9,1558,-200,22.9,1375,792,471,217
6.1,1438,-200,16.9,1208,626,528,204
6.7,1532,-200,22.2,1356,678,474,193
6.8,1522,-200,21.5,1337,706,479,192
6.7,1514,-200,21.5,1338,668,474,175
6.4,-200,-200,-200,-200,641,-200,168
6.8,-200,-200,-200,-200,649,-200,170
5.6,-200,-200,-200,-200,521,-200,157
5.4,-200,-200,-200,-200,487,-200,143
5.2,-200,-200,-200,-200,453,-200,152
5.9,1505,-200,15.6,1168,567,525,169
5.6,1458,-200,14.2,1123,527,540,164
5.5,1431,-200,13.5,1100,503,553,154
5.2,1366,-200,11.4,1027,-200,583,142
-200,1332,-200,10.5,997,345,601,130
2.2,1243,-200,8.6,924,274,648,119
2,1251,-200,8.6,924,231,644,106
2.2,1259,-200,9.1,944,268,631,111
2,1268,-200,8.6,926,281,645,122
2.5,1288,-200,9.4,956,340,623,121
3,1410,-200,11,1015,406,594,136
2.8,1374,-200,10.6,999,379,598,138
3.4,1458,-200,13.2,1090,436,553,147
5.5,1609,-200,18.1,1243,602,505,178
4,1424,-200,13.2,1090,507,566,176
2.4,1331,-200,9.7,966,266,633,159
3.1,1434,-200,13.3,1093,335,561,168
4,1542,-200,15.4,1161,464,531,181
4.6,1651,-200,17.8,1234,527,501,184
4.8,1633,-200,18,1240,592,496,170
6.2,1739,-200,21.3,1333,821,460,174
4.6,1523,-200,14.5,1132,538,541,136
4.5,1543,-200,15.8,1174,513,521,127
4.2,1469,-200,13.1,1086,514,564,125
2.6,1271,-200,7.7,886,345,688,121
1.6,1161,-200,6,810,231,775,117
1.3,1053,-200,3.5,680,166,890,108
0.6,916,-200,1.5,541,-200,1143,81.5
0.5,900,-200,1.2,522,61,1242,55
0.4,855,-200,0.8,479,49,1319,46
0.3,848,-200,0.7,464,54,1425,46
0.4,873,-200,0.9,485,78,1305,67
0.6,945,-200,1.8,569,136,1140,90
0.9,1003,-200,2.5,618,198,1003,117
1.1,1041,-200,3.1,659,211,908,118
1,1036,-200,3.5,685,183,942,112
1.6,1124,-200,5.7,799,277,775,134
1.8,1130,-200,5.8,803,267,772,127
1,991,-200,2.7,632,123,981,88
0.8,988,-200,2.2,596,68,1056,57
1.4,1163,-200,5.8,801,186,772,99
2.1,1226,-200,6.9,853,321,725,129
2.3,1286,-200,9.1,942,343,687,137
3.5,1423,-200,14,1116,550,553,146
3.8,1408,-200,13.1,1088,598,560,139
2.4,1178,-200,7.2,866,390,700,128
1,985,-200,3.8,701,159,877,106
1.3,1113,-200,5.2,776,193,828,114
2.3,1178,-200,7.4,873,316,700,137
1.5,1024,-200,3.9,705,199,876,114
1.1,954,-200,2.7,630,134,988,92
0.6,875,-200,1.5,548,-200,1165,73.5
0.7,877,-200,1.3,526,63,1171,55
0.4,826,-200,0.7,465,50,1322,46
0.5,862,-200,1.4,535,93,1193,67
0.8,938,-200,3,653,161,970,95
1.9,1205,-200,9.1,943,368,688,133
2.3,1171,-200,10,978,344,637,138
1.9,1131,-200,8.6,926,288,684,127
1.6,1074,-200,6.4,832,244,748,119
1.4,1062,-200,6.2,822,224,764,113
1.5,1045,-200,5.7,800,206,796,109
1.4,1034,-200,5,763,163,840,97
2,1186,-200,8,899,296,695,117
2.5,1256,-200,10.5,996,386,625,132
2.2,1138,-200,6.9,854,262,735,117
2,1138,-200,7.8,891,212,721,110
2.1,1114,-200,8,899,245,710,119
2.1,1107,-200,8.1,905,263,705,116
2.1,1117,-200,7.5,876,300,706,123
1.6,1090,-200,6,812,242,753,117
1.1,954,-200,3.2,665,152,916,100
1.2,987,-200,4.1,715,165,884,101
-200,969,-200,3.1,659,-200,945,99.45833333
-200,939,-200,2.9,648,-200,949,97.91666667
-200,961,-200,3,654,-200,925,96.375
-200,916,-200,2.5,623,-200,962,94.83333333
-200,835,-200,0.9,484,-200,1266,93.29166667
-200,885,-200,1.8,572,-200,1081,91.75
-200,1088,-200,6.6,839,-200,760,90.20833333
-200,1358,-200,15.3,1158,-200,529,88.66666667
-200,1456,-200,23.4,1389,-200,443,87.125
-200,1274,-200,15.3,1159,-200,545,85.58333333
-200,1092,-200,9.2,946,-200,691,84.04166667
-200,1111,-200,10.4,993,-200,662,82.5
-200,1177,-200,14.8,1143,-200,574,80.95833333
-200,1199,-200,14.6,1138,-200,581,79.41666667
-200,1121,-200,10.7,1003,-200,656,77.875
-200,1252,-200,15.5,1164,-200,559,76.33333333
-200,1233,-200,14.9,1144,-200,575,74.79166667
-200,1215,-200,12.4,1063,-200,616,73.25
-200,1193,-200,11.2,1020,-200,645,71.70833333
-200,1195,-200,11.3,1026,-200,637,70.16666667
-200,1301,-200,12.9,1080,-200,579,68.625
-200,1126,-200,6.4,828,-200,722,67.08333333
-200,1013,-200,3.6,687,-200,872,65.54166667
-200,982,-200,2.9,645,-200,922,64
-200,970,-200,2.8,642,-200,922,62.45833333
-200,959,-200,2.8,637,-200,958,60.91666667
-200,925,-200,2.2,598,-200,978,59.375
-200,847,-200,1,502,-200,1198,57.83333333
-200,885,-200,1.4,534,-200,1144,56.29166667
-200,883,-200,1.6,549,-200,1019,54.75
-200,892,-200,2,587,-200,1070,53.20833333
-200,970,-200,3.4,678,-200,916,51.66666667
-200,904,-200,2.9,644,-200,949,50.125
-200,919,-200,3,652,-200,953,48.58333333
-200,929,-200,3.3,668,-200,937,47.04166667
-200,938,-200,4.3,729,-200,874,45.5
-200,971,-200,5.5,786,-200,812,43.95833333
-200,914,-200,4.5,739,-200,870,42.41666667
-200,892,-200,4.1,719,-200,918,40.875
-200,913,-200,4.5,735,-200,905,39.33333333
-200,928,-200,4.9,759,-200,871,37.79166667
-200,1035,-200,9,941,-200,734,36.25
-200,1033,-200,9,939,-200,729,34.70833333
-200,990,-200,7.2,865,-200,764,33.16666667
-200,934,-200,4.7,750,-200,891,31.625
-200,881,-200,3.3,670,-200,979,30.08333333
-200,855,-200,2.7,631,-200,1033,28.54166667
-200,832,-200,2.2,598,-200,1122,27
-200,848,-200,2.8,639,-200,1057,25.45833333
-200,806,-200,1.8,567,-200,1163,23.91666667
-200,796,-200,1.5,545,-200,1210,22.375
-200,777,-200,0.9,493,-200,1247,20.83333333
-200,785,-200,1.1,505,-200,1226,19.29166667
-200,766,-200,0.7,470,-200,1317,17.75
-200,808,-200,1.4,534,-200,1243,16.20833333
-200,975,-200,6.2,822,-200,852,14.66666667
-200,943,-200,6.1,816,-200,828,13.125
-200,886,-200,5,764,-200,920,11.58333333
-200,861,-200,4.1,716,-200,973,10.04166667
-200,881,-200,4.4,734,-200,961,8.5
-200,855,-200,4.6,741,-200,965,6.958333333
-200,855,-200,4.3,725,-200,983,5.416666667
-200,844,-200,3.6,689,-200,1040,3.875
-200,900,-200,5.6,794,-200,906,2.333333333
-200,883,-200,4.8,751,-200,962,0.791666667
-200,994,-200,8.1,903,-200,781,-0.75
-200,927,-200,5.2,774,-200,883,-2.291666667
-200,1078,-200,10.2,987,-200,718,-3.833333333
-200,952,-200,5.5,788,-200,849,-5.375
-200,882,-200,3.1,660,-200,991,-6.916666667
-200,924,-200,4.2,724,-200,946,-8.458333333
-200,987,-200,6.2,823,-200,827,-10
-200,930,-200,4.8,752,-200,889,-11.54166667
-200,861,-200,3,654,-200,995,-13.08333333
-200,783,-200,1.2,522,-200,1241,-14.625
-200,744,-200,0.4,431,-200,1539,-16.16666667
-200,753,-200,0.4,426,-200,1568,-17.70833333
-200,787,-200,0.6,452,-200,1400,-19.25
-200,820,-200,1.1,506,-200,1221,-20.79166667
-200,840,-200,1.6,552,-200,1152,-22.33333333
-200,897,-200,3.1,656,-200,953,-23.875
-200,989,-200,5.6,793,-200,815,-25.41666667
-200,909,-200,4.5,737,-200,909,-26.95833333
-200,865,-200,3.8,697,-200,1002,-28.5
-200,924,-200,6.2,821,-200,899,-30.04166667
-200,912,-200,5.6,794,-200,885,-31.58333333
-200,872,-200,4.1,717,-200,991,-33.125
-200,917,-200,5.6,794,-200,907,-34.66666667
-200,962,-200,7.6,883,-200,818,-36.20833333
-200,932,-200,6.1,817,-200,883,-37.75
-200,930,-200,5.3,781,-200,933,-39.29166667
-200,962,-200,5.3,780,-200,919,-40.83333333
-200,974,-200,5.5,790,-200,915,-42.375
-200,1055,-200,5.6,791,-200,845,-43.91666667
-200,1003,-200,4.6,744,-200,882,-45.45833333
-200,1046,-200,4.2,724,-200,848,-47
1.6,1275,-200,8.8,930,215,649,106
2.5,1173,-200,7.5,878,300,738,129
2.7,1163,-200,7.6,881,-200,748,127.5
1.9,1054,-200,5.6,791,253,830,126
1.4,1004,-200,4.8,753,181,879,106
1.5,1001,-200,5.3,777,171,859,99
1.4,974,-200,4.5,736,168,888,97
1.1,915,-200,3,653,169,973,94
1,939,-200,3,649,145,996,86
1.2,973,-200,4.7,748,190,878,97
1.7,1011,-200,5.4,782,225,846,113
2.3,1097,-200,7.4,875,261,778,125
2.2,1149,-200,8.4,914,382,742,147
2.4,1117,-200,8.9,934,357,721,153
2.2,1085,-200,7.9,896,299,760,147
2.1,1102,-200,7.7,885,313,772,139
3,1281,-200,12.1,1053,510,659,165
4.7,1472,-200,16.6,1198,832,555,191
3.6,1328,-200,11.4,1029,622,637,172
2.5,1198,-200,7.9,897,402,720,151
2.3,1176,-200,8.1,905,334,718,137
2.1,1118,-200,6.4,830,295,765,130
1.7,1091,-200,5.2,773,222,820,115
1.8,1078,-200,5.2,775,230,809,112
1.6,1043,-200,4.3,726,195,875,105
1.3,992,-200,3.6,685,167,916,96
1.3,1004,-200,4.5,739,-200,868,91.5
1.3,947,-200,3.3,673,148,929,87
1.1,923,-200,2.7,634,123,984,75
1,911,-200,2.4,613,148,992,82
1,924,-200,2.6,629,143,994,83
1.2,954,-200,3.4,674,180,940,88
1.3,960,-200,3.9,704,226,887,106
1.6,1016,-200,4.9,760,254,835,112
2.2,1139,-200,7.5,879,372,753,141
2.2,1130,-200,7.1,860,379,752,148
2.8,1237,-200,9.6,962,478,685,171
2.1,1159,-200,6.5,837,344,742,160
1.6,1124,-200,5.5,790,258,791,137
2.8,1312,-200,10.5,998,474,640,167
2.6,1246,-200,8.9,936,438,665,164
2.8,1232,-200,8.8,931,451,674,166
2.9,1286,-200,10.5,996,473,644,167
3.4,1347,-200,13,1084,560,582,174
2.9,-200,-200,-200,-200,470,-200,160
3.2,-200,-200,-200,-200,506,-200,169
3.1,-200,-200,-200,-200,482,-200,162
3,-200,-200,-200,-200,436,-200,149
3.4,-200,-200,-200,-200,472,-200,158
3,-200,-200,-200,-200,379,-200,143
2.7,-200,-200,-200,-200,-200,-200,132
-200,-200,-200,-200,-200,286,-200,121
1.1,-200,-200,-200,-200,155,-200,92
1.4,-200,-200,-200,-200,264,-200,102
1.8,-200,-200,-200,-200,366,-200,121
3.6,-200,-200,-200,-200,622,-200,164
3.1,-200,-200,-200,-200,551,-200,175
1.9,-200,-200,-200,-200,349,-200,130
1.7,-200,-200,-200,-200,285,-200,117
1.7,-200,-200,-200,-200,265,-200,115
1.6,-200,-200,-200,-200,222,-200,106
1.6,-200,-200,-200,-200,237,-200,102
1.7,-200,-200,-200,-200,294,-200,122
2.2,-200,-200,-200,-200,329,-200,138
3.3,-200,-200,-200,-200,487,-200,162
3.9,-200,-200,-200,-200,604,-200,177
5,-200,-200,-200,-200,728,-200,190
4.2,-200,-200,-200,-200,653,-200,182
3.2,-200,-200,-200,-200,509,-200,163
1.7,-200,-200,-200,-200,277,-200,135
1.5,-200,-200,-200,-200,268,-200,130
1.3,-200,-200,-200,-200,193,-200,117
1.2,-200,-200,-200,-200,167,-200,104
1.3,-200,-200,-200,-200,159,-200,97
0.8,-200,-200,-200,-200,-200,-200,84.5
0.6,-200,-200,-200,-200,89,-200,72
0.8,-200,-200,-200,-200,97,-200,71
0.9,-200,-200,-200,-200,182,-200,94
1.1,-200,-200,-200,-200,262,-200,118
3.4,-200,-200,-200,-200,561,-200,174
3.6,-200,-200,-200,-200,540,-200,170
3.1,-200,-200,-200,-200,480,-200,171
3.3,-200,-200,-200,-200,608,-200,196
3.4,-200,-200,-200,-200,584,-200,191
2.8,-200,-200,-200,-200,426,-200,165
2.6,-200,-200,-200,-200,397,-200,148
3,-200,-200,-200,-200,473,-200,172
2.9,-200,-200,-200,-200,369,-200,165
3.8,-200,-200,-200,-200,532,-200,184
3.8,-200,-200,-200,-200,498,-200,173
3.6,-200,-200,-200,-200,487,-200,174
4.5,-200,-200,-200,-200,629,-200,181
3.7,-200,-200,-200,-200,502,-200,166
2.4,-200,-200,-200,-200,381,-200,150
1.7,-200,-200,-200,-200,250,-200,131
1.7,-200,-200,-200,-200,266,-200,129
1.7,1135,-200,5.6,792,226,727,120
1.9,1188,-200,8.1,901,259,657,119
2,1242,-200,8.5,921,-200,626,115
2,1219,-200,7.7,889,260,649,111
1.7,1187,-200,6.8,850,242,653,109
1.8,1225,-200,8.1,904,267,644,110
2.2,1333,-200,11.1,1019,411,576,126
3.7,1489,-200,16.4,1193,670,497,148
4.8,1596,-200,21.6,1341,830,436,162
4.8,1585,-200,19.3,1277,845,456,173
5.2,1674,-200,22.9,1376,992,438,198
5.9,1741,-200,25.3,1438,1130,416,219
5.9,1680,-200,25.2,1434,977,417,206
3.1,1295,-200,13.2,1090,459,553,155
2.6,1288,-200,13.9,1112,346,560,150
2.8,1281,-200,13.8,1111,383,553,148
2.8,1310,-200,13.5,1099,414,559,158
2.8,1276,-200,13.5,1099,370,559,152
3.1,1312,-200,15,1148,400,532,148
3.3,1332,-200,14.9,1146,378,539,147
2.7,1248,-200,11.9,1046,357,588,144
2.3,1182,-200,9.2,947,333,643,144
1.6,1059,-200,6,810,227,764,126
1.6,1056,-200,5.6,795,203,783,115
1.7,1064,-200,5.4,785,210,769,116
1.6,1059,-200,5.4,783,198,781,112
1.4,991,-200,3.5,681,-200,874,89.5
-200,950,-200,2.5,622,89,960,67
0.9,1005,-200,3.4,679,89,875,67
0.8,939,-200,1.8,568,101,1037,72
0.7,961,-200,2.6,629,104,1011,69
1.1,1017,-200,4,712,192,827,107
1.5,1108,-200,6.2,823,237,720,117
1.5,1122,-200,5.8,803,211,733,115
1.6,1099,-200,6.3,826,230,739,120
1.6,1124,-200,5.9,805,240,726,128
2,1186,-200,8.5,921,295,660,138
1.7,1096,-200,6.2,819,243,733,127
1.5,1120,-200,6.4,829,196,725,111
2,1185,-200,7.9,893,237,666,122
1.9,1173,-200,7.7,885,274,685,134
2.1,1221,-200,8.9,935,352,642,153
2.8,1330,-200,12.4,1063,488,578,169
2.7,1325,-200,11.3,1027,426,591,162
2.4,1195,-200,8.4,915,376,666,152
1.6,1150,-200,7.3,869,237,694,127
1.7,1145,-200,5.9,806,199,736,112
1.3,1041,-200,4.3,729,164,819,98
1.4,1032,-200,3.6,687,142,867,89
1.2,1010,-200,3.1,661,142,881,82
1,951,-200,2.5,620,-200,938,79.5
1,944,-200,2.5,617,127,944,77
0.6,862,-200,1.4,540,73,1110,55
0.7,909,-200,1.8,567,100,1049,63
1,965,-200,3.1,659,126,973,69
1.7,1102,-200,7.6,884,284,719,99
3,1226,-200,15.3,1157,419,552,125
2.4,1132,-200,9.3,950,432,659,123
2.2,1183,-200,11,1013,310,632,128
2.6,1211,-200,10.6,998,446,605,149
2.5,1253,-200,11.4,1030,464,590,137
3,1311,-200,13.1,1088,505,563,147
3.3,1341,-200,14.8,1142,564,536,168
3.8,1432,-200,16.5,1195,625,509,180
3.6,1404,-200,16.5,1195,590,499,170
5,1493,-200,21.5,1337,712,466,180
5.7,1478,-200,22.2,1357,723,473,178
5,1411,-200,20.5,1311,707,487,159
4.8,1387,-200,17.7,1231,737,523,156
3.9,1306,-200,15.4,1161,646,557,146
3.3,1232,-200,11.6,1035,536,623,132
3.4,1277,-200,13,1085,567,589,137
2.4,1063,-200,6.7,843,357,762,114
1.4,991,-200,4.6,744,187,863,95
1.4,989,-200,3.8,701,-200,871,91.5
1.2,972,-200,3.4,674,169,926,88
1.2,973,-200,3.4,675,184,903,94
1.2,985,-200,3.6,691,205,878,97
1.3,1020,-200,4.5,736,213,854,93
2.3,1192,-200,10,978,415,638,113
3.4,1325,-200,14.7,1140,583,542,126
3,1219,-200,11.3,1026,462,604,133
2.5,1195,-200,10.4,992,387,632,141
